Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1991,1991,hg/ha,22648,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1992,1992,hg/ha,25401,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1993,1993,hg/ha,21767,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1994,1994,hg/ha,30246,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1995,1995,hg/ha,16316,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1996,1996,hg/ha,22258,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1997,1997,hg/ha,30295,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1998,1998,hg/ha,20838,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",1999,1999,hg/ha,32063,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2000,2000,hg/ha,26342,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2001,2001,hg/ha,28402,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2002,2002,hg/ha,36275,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2003,2003,hg/ha,35325,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2004,2004,hg/ha,34074,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2005,2005,hg/ha,29969,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2006,2006,hg/ha,36049,Fc,Calculated data
QC,Crops,231,United States of America,5419,Yield,221,"Almonds, with shell",2007,2007,hg/ha,46830,Fc,Calculated data
